,Original,Summary
0,Meresahkan  Iya sih promonya menarik  kurirnya ga bertanggung  Udah 3x beli ditokopedia pengirimannya ga  Bayangin aja beli sameday datengnya 4  kurir sicepat anter aja ga anter paket sampe rumah  Maunya didepan gang aja  pdhl kurir dtg sampe rumah  Next tolong tokped bikin opsi ubah kurir kayak shopee  Jujur kesel aja zonk mulu beli  refund uangnya bgt 3 ,Iya sih promonya menarik  kurirnya ga bertanggung 
1,ntaps gan,ntaps gan
2,ATURAN TOKOPEDIA GAK MASUK AKAL  BELI VAPE MUSTI VERIFIKASI MUKA KTP    GW DAFTAR PAKAI EMAIL  NOMOR HP  REGISTRASI SIM CARD PAKE KTP  LO TINGGAL LIAT AJA DATA² KTP GW TERDAFTAR SIM CARD  LO GW KREDIT PAKE VERIFIKASI MUKA  KTP  DASAR DEVELOPER TOLOL    BIKIN RIBET AJA    APAPUN BUATAN INDO GAK BERES    OTOMATIS PINDAH SHOPEE,APAPUN BUATAN INDO GAK BERES   
3,mantap,mantap
4,tingkatkan informasi pelacakan barang kirim  iya mengerti sistem estiminasi  minimal informasi barang lokasinya dimana  pengirimnya  minimal informasi  Informasi  tingkatkan tokped  Tokopedia aplikasi hebat,Informasi  tingkatkan tokped  Tokopedia aplikasi hebat
5,bagus,bagus
6,rewel tagih kaya bocah harilambat denda nya 50kedan raja rentenir mah,rewel tagih kaya bocah harilambat denda nya 50kedan raja rentenir mah
7, wifi  ,
8,Kurangin bintang  biaya aplikasi,Kurangin bintang  biaya aplikasi
9,suka paket belanja 10K tokped  semoga sukses paket 20K,suka paket belanja 10K tokped  semoga sukses paket 20K
10,memuaskan,memuaskan
11,membatu terima kasih Tokopedia ,membatu terima kasih Tokopedia 
12,terimakasih promonya ,terimakasih promonya 
13,membantu ,membantu 
14,membantu,membantu
15,Aplikasi memaksa pembaruan   transaksi  memilih ganti marketplace belanja , transaksi 
16,,
17,Ok,Ok
18,Pelayanan cepat   terarah ,Pelayanan cepat   terarah 
19,update aplikasi,update aplikasi
20,Fitur Pencarian produk maksimal  produk cari muncul,Fitur Pencarian produk maksimal  produk cari muncul
21,ok,ok
22,sippp,sippp
23,Gratis ongkirnya  minimal pemebelian diatas 20rb  biaya jasa aplikasi  ga  enakan 1,Gratis ongkirnya  minimal pemebelian diatas 20rb  biaya jasa aplikasi  ga  enakan 1
24,gg,gg
25,mantap,mantap
26,Nice,Nice
27,Kurir anteraja sameday 2 ga  takedown anter aja ga pengiriman nya,Kurir anteraja sameday 2 ga  takedown anter aja ga pengiriman nya
28,Force open apk ganggu bgt,Force open apk ganggu bgt
29,suka belanja toped full gratis ongkir  lama2 tinggalkan toped mambernya udah silver,suka belanja toped full gratis ongkir  lama2 tinggalkan toped mambernya udah silver
30,belanja mudah  ramah hadiah  Tokopedia,belanja mudah  ramah hadiah  Tokopedia
31,yaaa lumayan  biaya skrg yaaa ,yaaa lumayan  biaya skrg yaaa 
32,Tolong paket tokopedia barang nya  foto yg cantumkan kurir karawaci kalideres  gimana bantuannya ,Tolong paket tokopedia barang nya  foto yg cantumkan kurir karawaci kalideres  gimana bantuannya 
33,upgrade terbaru  ko gambar nya muncul ya   ,
34,Edmd,Edmd
35,kirim foto update aja,kirim foto update aja
36,hemat gak ribet praktis  kadang kadang sebel gak pas dihatiiiiiiiii ,hemat gak ribet praktis  kadang kadang sebel gak pas dihatiiiiiiiii 
37,pembelian nya mudh,pembelian nya mudh
38,apk gajelas  top up e money aja kendala troos ngntd,apk gajelas  top up e money aja kendala troos ngntd
39,Aplikasi ijo ,Aplikasi ijo 
40,Belanja puas  gak bingung milih  toko terpercaya  Mantull,Mantull
41,Bagus,Bagus
42,BLIBLI biaya Apapun  casbac gratis ongkir  PILIH MENGUNTUNGKAN  HIRAUKAN ORANG BILANG  maunya gratisan   yg belanja cari yg murah  menguntungkan  tinggalkan yg merugikan  beralih yg menguntungkan ,beralih yg menguntungkan 
43,toped ,toped 
44,Adminnya kompeten melayani solusi komplain  toped  beralih dlu  toped mengecewakan,Adminnya kompeten melayani solusi komplain  toped  beralih dlu  toped mengecewakan
45,ok,ok
46,Gile bener  parah biaya biaya dihapus bertambah mahal  mahal  khawatirkan monopoli kebijakan aplikator online ,khawatirkan monopoli kebijakan aplikator online 
47,Skrg biaya app males belanja online lg,Skrg biaya app males belanja online lg
48,Mantap gift2 yg bagus ya min,Mantap gift2 yg bagus ya min
49,bagus,bagus
50,nice,nice
51,Ongkirnya mahal udah pakai gratis ongkir  nambah Rp11800 sih  voucher cuman pake 1  cuman pilih gratis ongkir cashback 1rb  Gak kayak    lemot app nya  Semoga kedepannya gratis ongkir Rp  0 voucher ,Semoga kedepannya gratis ongkir Rp 
52,Sulit belanja tokopedia gk cod,Sulit belanja tokopedia gk cod
53,kali mengunjungi tokopedia  saran pindah ecommerce  fitur berfungsi  promo ongkir diskoncashback gabisa digabung  Ekspedisi gratis ongkir gabisa milih  terbaik sistem terbaik pembeli kali coba Tokopedia  Thanks  semoga perbaikan kalo pengguna stay ,terbaik sistem terbaik pembeli kali coba Tokopedia 
54,bayar pake gopay adminnya nambah 2 ribu perpayment  kamahalan yg beli satusatu,bayar pake gopay adminnya nambah 2 ribu perpayment  kamahalan yg beli satusatu
55,good jobs,good jobs
56,ciptaan anak bangsa,ciptaan anak bangsa
57,gokilllll,gokilllll
58,Naise,Naise
59,bgs n terjamin,bgs n terjamin
60,gak suka membeli barang onlain bagus pilih sendiru,gak suka membeli barang onlain bagus pilih sendiru
61,Barang,Barang
62,Cashback hilang alasan 1 rumah memiliki akun Tokopedia  Udah tau belanja sifatnya pribadi ga tau kalo kesamaan pakai promo banget ngejebaknya biar ga dapet cashback gede cashbacknya 600 ribu  Ga banget aturannya,Ga banget aturannya
63,Hati hati belanja tokopedia  Penjual bilang asli   no minus  cacat  yg dikirim asli  cacat dikomplain keputusan tangan penjual  Penjual berhak menolak komplain  barang sesuai pesanan  Bayangkan yg dijual emas batangan  berlian  penjual asli yg dikirim asli  Tolong tokopedia pikirkan ,Tolong tokopedia pikirkan 
64,,
65,Laaah,Laaah
66,Solusi Kalm Transaksinya Sy akui Good Tokped  Tambahan Biaya layanan  Biaya Layanan murah Marketplace Orange  Pembayaran COD sesuai cekout Orange  Tokped tambahan jasa aplikasi  Sory Tokped Transaksi Pindah  Klu gebrakan promo tdk menguntungkan siap2x ditinggalkan Marketplace Merah ,Klu gebrakan promo tdk menguntungkan siap2x ditinggalkan Marketplace Merah 
67,Mantap ,Mantap 
68,pelanggan setia tokopedia keberatan nya biaya aplikasi biaya layanan  nya belanja biaya masuk akal  Mohon maaf masukan terima kasih,nya belanja biaya masuk akal 
69,kecewa pelayanan tokopedia care menangani bertele tele,kecewa pelayanan tokopedia care menangani bertele tele
70,Niceeee app,Niceeee app
71,kadang produk nya ga sesuai pesanan kadang sesuai tolong kalo komplen tukar mah cuek anggapan nya ga sah  penipuan aplikasi  kau biarkan gitu loh maksudnya aplikasi nya,kadang produk nya ga sesuai pesanan kadang sesuai tolong kalo komplen tukar mah cuek anggapan nya ga sah  penipuan aplikasi  kau biarkan gitu loh maksudnya aplikasi nya
72,Bebas ongkir berkurang,Bebas ongkir berkurang
73,,
74,mantap,mantap
75,Tokopedia UPDATE ngga yg  update hapus aplikasi ,Tokopedia UPDATE ngga yg  update hapus aplikasi 
76,Ok,Ok
77,Sy ga suka biaya protek Yg ga sy setujui  terlampir tagihan cekout,Sy ga suka biaya protek Yg ga sy setujui  terlampir tagihan cekout
78,Terima kasih Tokopedia  transaksi lancar ,Terima kasih Tokopedia  transaksi lancar 
79,kapiten pedang Kalo berjalan prok prok prok kapiten,kapiten pedang Kalo berjalan prok prok prok kapiten
80,mantap,mantap
81,oke  tp update2  ,oke  tp update2  
82,Biaya aplikasi biaya penanganan biaya e wallet biaya biaya biaya,Biaya aplikasi biaya penanganan biaya e wallet biaya biaya biaya
83,semoga pesananx,semoga pesananx
84,puji Tuhan terimakasih tokped membantu prakerja,puji Tuhan terimakasih tokped membantu prakerja
85,update gagal  pas buka apk permintaan suruh update  egk apk gk dibuka  update presentasi 80an  gagal ,pas buka apk permintaan suruh update  egk apk gk dibuka  update presentasi 80an  gagal 
86,beta,beta
87,Membantu transaksi yg lakukan,Membantu transaksi yg lakukan
88,d update  hapus jg  taikkk lama2,d update  hapus jg  taikkk lama2
89,membantu,membantu
90,Tokopedia payah  pesanan diterima  aplikasi selesai  malas skrg pakai toped,Tokopedia payah  pesanan diterima  aplikasi selesai  malas skrg pakai toped
91,Gratis ongkir  bangeeeeeeet   ,
92,diupdate  udah diulang kalipun ga ,diupdate  udah diulang kalipun ga 
93,Kurir lambat  jabodetabek aja klo ga pake gosend cepet  kalo pake jne seminggu,Kurir lambat  jabodetabek aja klo ga pake gosend cepet  kalo pake jne seminggu
94,reseler fast respon,reseler fast respon
95,Payah  nyampenya skrg,Payah  nyampenya skrg
96,Kalo teruskan Aplikasi lama2 User tinggalkan Toped Aplikasi tambahan biaya Aplikasi dll  sarankan Paylater hapus semuaitu kendala orang malas pakai  Limit Tiba2 turunkan pemberitahuan gk dg Pembayaran Aja  Bikin bingung pemakai  kalo teruskan kayak gini User yg tinggalkan TOPED  pilihan Toko Online ,Limit Tiba2 turunkan pemberitahuan gk dg Pembayaran Aja  Bikin bingung pemakai 
97,promo  biaya layanan mahal  maksa update aplikasi,promo  biaya layanan mahal  maksa update aplikasi
98,cepat terpercaya,cepat terpercaya
99,Semenjak Gopaycicilan masalanya  malas bertransaksi klu TDK butuh  Gopaylaterbayar30 hr tersdia gak butuh bagiku  karna lbh suka Gopaycicilan bertransaksi apapun biar  sprti shopeepaylater cicilan yg msh tersedia jd belanja diaplikasi SHOPEE terpercaya Tokopedia  promo tdk No rekomendasi share grup jgn bertransaksi GopayTokopedia noReal Giveawaynya,Semenjak Gopaycicilan masalanya  malas bertransaksi klu TDK butuh  Gopaylaterbayar30 hr tersdia gak butuh bagiku  karna lbh suka Gopaycicilan bertransaksi apapun biar  sprti shopeepaylater cicilan yg msh tersedia jd belanja diaplikasi SHOPEE terpercaya Tokopedia  promo tdk No rekomendasi share grup jgn bertransaksi GopayTokopedia noReal Giveawaynya
100,bagus,bagus
101,toko pedia emang oke,toko pedia emang oke
102,Promo nya gak sesuai,Promo nya gak sesuai
103, Tokopedia gak  update bermasalah  uninstall install skrg tdk , Tokopedia gak  update bermasalah  uninstall install skrg tdk 
104,No comment,No comment
105,Gratis ongkir mending kerjasama JNE J  T aja anteraja lemot banget,Gratis ongkir mending kerjasama JNE J  T aja anteraja lemot banget
106,,
107,Susah komplainya kayak pembeli salah,Susah komplainya kayak pembeli salah
108,pembayaran lancar  ga ribet lg bolak atm  moga bs ttp lancar ,pembayaran lancar  ga ribet lg bolak atm  moga bs ttp lancar 
109,Parah mao belanja verifikasi ktp Gratis  Ongkir gak pilih kurir Gratis ongkir ama kurir bermasalah Mao belanja jd,Ongkir gak pilih kurir Gratis ongkir ama kurir bermasalah Mao belanja jd
110,memuaskan,memuaskan
111,Tokopedia aplikasi belanja online bagus yg pakeibelum kecewa belanja tokopedia mudah  an gak kecewa  pilihan barang nya peroses pembayaran nya mudah  Mudah bangi gak ribet  Terimakasi pengguna tokopedia,pilihan barang nya peroses pembayaran nya mudah 
112,Aplikasi Promo yg menjebak,Aplikasi Promo yg menjebak
113,ok,ok
114,membantu dimudahkan dlam berbelanja  semoga kedepan bunganya dikit  hehe,semoga kedepan bunganya dikit 
115,ok,ok
116,Ok Good ,Ok Good 
117,,
118,aplikasi praktis,aplikasi praktis
119,biaya jasa  biaya aplikasi mahal aja toko ijo,biaya jasa  biaya aplikasi mahal aja toko ijo
120,Maaf skrg tdk pakai aplikasi pdhl dlu apk kesayangan  skrg biayaa lbh mahal smpe 3rb hnya utk penanganan  pdhl klo pesan brng g pelayanan yg spesial dr naiknya hrga aja ky wktu grtis jd gunaa biaya tsb Msh byk apk blnja online yg bner2 murah  grts ongkir,skrg biayaa lbh mahal smpe 3rb hnya utk penanganan  pdhl klo pesan brng g pelayanan yg spesial dr naiknya hrga aja ky wktu grtis jd gunaa biaya tsb Msh byk apk blnja online yg bner2 murah  grts ongkir
121,Ok,Ok
122,Aplikasi ga  update tp gagal,Aplikasi ga  update tp gagal
123,mantap,mantap
124,ongkirnya lbh mahal dr barang yg dibeli utk pulau  tpt lbh murah,tpt lbh murah
125,stasiun Bogor sinyal lambat sat transakasi online,stasiun Bogor sinyal lambat sat transakasi online
126,embel   biaya jasa aplikasi  biaya layanan  nya mahal ,embel   biaya jasa aplikasi  biaya layanan  nya mahal 
127,JELEK,JELEK
128,pembayaran mudah,pembayaran mudah
129,Lambat,Lambat
130,Sagat membantu tuk belanja ,Sagat membantu tuk belanja 
131,Update,Update
132,Bagus,Bagus
