,content,sentiment
0,Very good app,1
1,I hate answering questions .,-1
2,It's a very useful app this app change my lifestyle and improve my language to became my life better..,1
3,Thanks for your time today,1
4,good face book,1
5,I love how family and friends can stay connected. I don't care for the agenda push. I truly don't like the government involved in a social media app. Facebook needs to go back to just being a way to connect family and friends. It's a great app for that!,1
6,Full of ads,-1
7,I cannot even find my password you rlly need to put on the settings like the password,-1
8,"I just got hacked but unknown person yesterday 30/5/2023, luckily my friend inform me immediately or else it will be a disaster 😭. There are many similar cases happened around me,my friends and family. Feeling insecure and unprotected.",-1
9,When watching videos there are so many adds,-1
10,I like this app,1
11,Better than Chait,1
12,"I have a few questions regarding my application and would be interested in a new position on my application, on my phone!?? T-moble to you? Kathryn Biggoose Thank-you??",0
13,Hi to all my Facebook team. My Facebook is not showing the reels option kindly solve my problem.i clear cache and uninstall the Facebook app and again log in but no results kindly solve my problem,0
14,This is the worst Platform ever and so very strict Youtube and Tiktok is better. The monetization policy is so very strict . Even if someone shared flag content on your feed. You also have violation.,-1
15,DON'T AUTO REFRESH comments in a post. I CANT READ IF ITS KEEP ON REFRESHING. So annoying.,-1
16,Facebook is a horrible app now. I would give negative stars is i could. I want to know why when you are scrolling through posts it will come up with session expired and logs you out. Really annoying. I want an explanation to why this happens more than once a day. Also what is up the repetitive ads more ads than anything else and the rubbish reasons you show this garbage. Facebook has gone from fun to an advertising app it's all just ad after as now. ABSOLUTELY PATHETIC,-1
17,I hate a new meta on this app why are so very sensitive dfq,-1
18,great app,1
19,Most usebal app😔😅😂😅,1
20,Close when watch video,-1
21,Good app,1
22,"Lot of knowledge of any topic..news, posts, friendship ❤💖💞",1
23,Constant updates (every 3-5 days for me)or wherever I take a photo using my phone (not FB camera but my device camera). Algorithm filters in unwanted ads on your news feed. Even after you thought to have fixed the problem in account setting and privacy. If I could rate a half star I would please fix these items so I can rate a better experience using this application THANK YOU,-1
24,"I love facebook apps specially now, have more exciting.",1
25,Please why you remove no longer access my id is hack,-1
26,This is worst app,-1
27,Very best app,1
28,"Social nightmare. Hacking, spying, tracking, not for me anymore.",-1
29,Nice Helpfull,1
30,"No freedom in sharing post , they want you share what they like only .",-1
31,This is awesome app,1
32,I am a beautiful person who is the best way to get the best way to get,0
33,Facebook is Onside supporter . and encorage vialance and dlelete peopls voice,-1
34,Good app,1
35,Keeps failing but doesn't tell me why. Just tells me that my session expired. Very annoying!!,-1
36,This app making me mad and make me creating a new account for stupid error,-1
37,"This app always close, why is this so annoying that one can't upload nor post in peace",-1
38,good app nice me.,1
39,A very good app to use and a good platform to socialise with friends and family.,1
40,Good app.,1
41,I like it Thanks for Facebook creator's,1
42,Gd for friends connection,1
43,Its best for business and others,1
44,Best facebook,1
45,Very good app,1
46,Please in the,0
47,Suppesoary,0
48,ApPs not downloud,0
49,Google classroom,1
50,Very easy to use and touched with whole world in a single touch......,1
51,"Very easy it took 2, minutes to down load easy to use to",1
52,Good app,1
53,Very nice app,1
54,My real Facebook account suspended and disabled how to recover my account pls help me,-1
55,A few days ago there was an ad on the right side of my facebook account so I am going to delete my facebook account,-1
56,It works perfectly 🥰,1
57,"I give it 5 stars so this app ,always update post or something issues in our country.",1
58,Jai shree Ram,1
59,Update facebook app,1
60,Fix name bug even i give real name still give me warning,-1
61,Very nice and beautiful app,1
62,Don't know why but when I woke this morning the app won't even open it crashes as I try to open it,-1
63,Like...thi..app..!!🎈📸,1
