,Original,Summary,Sentiment
0,"Toko nya bagus-bagus, rekomendasinya ok-2👍🏻","Toko nya bagus-bagus, rekomendasinya ok-2👍🏻",1
1,"belanja online , tokopedia aja, ga ada barang yang dijual disini. semua nya ada thx tokopedia",semua nya ada thx tokopedia,1
2,Transaksi mudah. Free ongkir selalu ada.,Free ongkir selalu ada.,1
3,Masa simpan history kartu kredit harus bayar 10rb,Masa simpan history kartu kredit harus bayar 10rb,-1
4,"jumlah item harga tertinggi dan terendah nggak sama, dan kupon cashback dan free ongkir makin pelit, bagusan shoope dari Tokopedia sekarang 👎","jumlah item harga tertinggi dan terendah nggak sama, dan kupon cashback dan free ongkir makin pelit, bagusan shoope dari Tokopedia sekarang 👎",-1
5,Selalu memudahkan 🫰🏻🫰🏻,Selalu memudahkan 🫰🏻🫰🏻,1
6,pakai tokped buat belaja mulai dr yg high end sampe perintilan. emang kadang sebel CS gak ada nomor tlpnya. tp semenjak sama Jack Ma kayaknya respon CSnyabmakin cepet nih. keep up,emang kadang sebel CS gak ada nomor tlpnya.,1
7,Udh terbantu bgttttt sm aplikasi ini buat org yg super mager ky gue hahaha...thx tokopedia,Udh terbantu bgttttt sm aplikasi ini buat org yg super mager ky gue hahaha...thx tokopedia,1
8,"Memudahkan untuk belanja online, mantap","Memudahkan untuk belanja online, mantap",1
9,"Namanya juga system suka ada saja error nya dan d benerkan jangan kasi masukan terus tp sering errornya d banding toko sebelah
Dan untuk komplain toko karna penipuan jangan terlalu susah, karna sy baru transaksi dengan TOKO penipu, semoga tidak ada lg yg kena tipu, belum d report tokonya karna ribed pilihannya.","Namanya juga system suka ada saja error nya dan d benerkan jangan kasi masukan terus tp sering errornya d banding toko sebelah
Dan untuk komplain toko karna penipuan jangan terlalu susah, karna sy baru transaksi dengan TOKO penipu, semoga tidak ada lg yg kena tipu, belum d report tokonya karna ribed pilihannya.",-1
10,"Saat tanggal tua & ada kebutuhan untuk bayar tagihan pasca bayar terselamatkan dengan adanya promo diskon bayar tagihan,,, Lumayan dapat potongan 8k,,, Jadi tinggal bayar sisanya 😁🤭,,,, Go coins juga bisa dipake lhooo,,, pernah bayar tagihan PDAM 93k dg GoCoins,,,tidak keluar duit sama sekaliii 😊 Makasih banyak Tokped 👍🏻👌🏻😘","Saat tanggal tua & ada kebutuhan untuk bayar tagihan pasca bayar terselamatkan dengan adanya promo diskon bayar tagihan,,, Lumayan dapat potongan 8k,,, Jadi tinggal bayar sisanya 😁🤭,,,, Go coins juga bisa dipake lhooo,,, pernah bayar tagihan PDAM 93k dg GoCoins,,,tidak keluar duit sama sekaliii 😊 Makasih banyak Tokped 👍🏻👌🏻😘",1
